Time,hotWaterPump,mashStirrer,controllerInfo,mashVolume,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,mashTemp,envTemp,boiler,delayTimer,waterHeater,dispenser1,dispenser2,hwtVolume
07:02:11.952080,0,0,0.0,0,0,0,1,0,0.0,0,0,1,0,70.0,212,0,0.0,0,1,1,0
07:02:16.957509,0,0,0,0,0,80.2,1,0,0,0,0,1,0,66.0,212,82.8,0.8,59.1,1,1,32
07:02:21.959306,0,0,0,0,0,96.2,1,0,0,0,0,1,0,61.0,212,98.8,0.883333333333,47.1,1,1,32
07:02:26.963251,0,0,0,0,0,112.2,1,0,0,0,0,1,0,60.0,212,114.8,0.966666666667,35.1,1,1,32
07:02:31.967282,0,0,0,0,0,128.2,1,0,0,0,0,1,0,60.0,212,130.8,1.05,33.3,1,1,32
07:02:36.972566,0,0,0,0,0,144.2,1,0,0,0,0,1,0,60.0,212,146.8,1.13333333333,33.3,1,1,32
07:02:41.977804,0,0,0,0,0,160.2,1,0,0,0,0,1,0,60.0,212,162.8,1.21666666667,33.3,1,1,32
07:02:46.983081,0,0,0,0,0,176.2,1,0,0,0,0,1,0,60.0,212,178.8,1.3,33.3,1,1,32
07:02:51.988389,0,0,0,0,0,192.2,1,0,0,0,0,1,0,60.0,212,194.8,1.38333333333,33.3,1,1,32
07:02:56.994443,0,0,0,0,0,208.2,1,0,0,0,0,1,0,60.0,212,210.8,1.46666666667,33.3,1,1,32
07:03:01.999972,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,1.56666666667,33.3,1,1,32
07:03:07.005219,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,1.66666666667,33.3,1,1,32
07:03:12.010443,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,1.75,33.3,1,1,32
07:03:17.015668,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,1.83333333333,33.3,1,1,32
07:03:22.020895,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,1.91666666667,33.3,1,1,32
07:03:27.025355,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.0,33.3,1,1,32
07:03:32.030638,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.08333333333,33.3,1,1,32
07:03:37.035881,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.16666666667,33.3,1,1,32
07:03:42.041133,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.25,33.3,1,1,32
07:03:47.046367,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.33333333333,33.3,1,1,32
07:03:52.051603,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.41666666667,33.3,1,1,32
07:03:57.056826,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.5,33.3,1,1,32
07:04:02.059263,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.58333333333,33.3,1,1,32
07:04:07.064523,0,0,0,0,0,212,1,0,0,0,0,1,0,60.0,212,212,2.66666666667,33.3,1,1,32
