Time,hotWaterPump,mashStirrer,controllerInfo,dispenser2,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,mashTemp,envTemp,boiler,delayTimer,waterHeater,dispenser1
13:11:56.123486,0,0,0.0,1,0,0,1,0,0.0,0,0,1,0,70.0,74.75,0,0.0,0,1
13:12:04.667482,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,0.45,71.2625,1
13:12:11.130285,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,0.566666666667,71.2625,1
13:12:16.588325,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,0.65,71.2625,1
13:12:33.963903,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,0.916666666667,71.2625,1
13:12:45.382239,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,1.13333333333,71.2625,1
13:12:50.838518,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,1.21666666667,71.2625,1
13:12:56.799918,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.75,73.7375,1.31666666667,71.2625,1
13:13:02.758900,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,1.41666666667,71.2625,1
13:13:08.215080,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,1.51666666667,71.2625,1
13:13:14.172571,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,1.61666666667,71.2625,1
13:13:20.131579,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,1.71666666667,71.2625,1
13:13:25.587410,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,1.8,71.2625,1
13:13:31.045576,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,1.9,71.2625,1
13:13:37.505564,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,1.96666666667,71.2625,1
13:13:42.962184,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,2.08333333333,71.2625,1
13:13:48.419075,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,2.18333333333,71.2625,1
13:13:59.839521,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,2.36666666667,71.2625,1
13:14:05.794388,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.8625,73.7375,2.46666666667,71.2625,1
13:14:11.755550,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,2.56666666667,71.2625,1
13:14:17.212200,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,2.66666666667,71.2625,1
13:14:22.670327,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.75,74.75,73.7375,2.75,71.2625,1
13:14:29.131573,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,2.86666666667,71.2625,1
13:14:34.587659,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,2.95,71.2625,1
13:14:41.991330,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,0,73.7375,0,71.2625,1
13:14:50.380461,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,0,71.2625,1
13:14:57.762282,0,0,0,1,0,73.7375,1,0,0,0,0,1,0,74.8625,74.8625,73.7375,0,71.2625,1
